run_label,timestamp,case_id,metric,state,state_label,value
Case 1,20260131_151035,1,final_relative_error_pct,x1,V (L),5.43158518028233
Case 1,20260131_151035,1,final_relative_error_pct,x2,X (g/L),6.06474432869595
Case 1,20260131_151035,1,final_relative_error_pct,x3,S (g/L),163.158670359435
Case 1,20260131_151035,2,final_relative_error_pct,x1,V (L),0.0433181106872627
Case 1,20260131_151035,2,final_relative_error_pct,x2,X (g/L),0.00386068341818202
Case 1,20260131_151035,2,final_relative_error_pct,x3,S (g/L),13.0298635194998
Case 1,20260201_111557,1,final_relative_error_pct,x1,V (L),9.05395549413972
Case 1,20260201_111557,1,final_relative_error_pct,x2,X (g/L),24.0203970866951
Case 1,20260201_111557,1,final_relative_error_pct,x3,S (g/L),204.091124619519
Case 1,20260201_111557,2,final_relative_error_pct,x1,V (L),0.241835675939561
Case 1,20260201_111557,2,final_relative_error_pct,x2,X (g/L),0.42377762068778
Case 1,20260201_111557,2,final_relative_error_pct,x3,S (g/L),1.47196954229275
Case 1,20260201_111928,1,final_relative_error_pct,x1,V (L),2.3986070190134
Case 1,20260201_111928,1,final_relative_error_pct,x2,X (g/L),9.89955303096401
Case 1,20260201_111928,1,final_relative_error_pct,x3,S (g/L),216.942036602379
Case 1,20260201_111928,2,final_relative_error_pct,x1,V (L),0.203623454406432
Case 1,20260201_111928,2,final_relative_error_pct,x2,X (g/L),0.147237740297967
Case 1,20260201_111928,2,final_relative_error_pct,x3,S (g/L),1.63419145697596
Case 1,20260201_120223,1,final_relative_error_pct,x1,V (L),0.794824165180052
Case 1,20260201_120223,1,final_relative_error_pct,x2,X (g/L),1.20825629521171
Case 1,20260201_120223,1,final_relative_error_pct,x3,S (g/L),77.9791210308217
Case 1,20260201_120223,2,final_relative_error_pct,x1,V (L),0.00780041762142858
Case 1,20260201_120223,2,final_relative_error_pct,x2,X (g/L),0.000487601254519632
Case 1,20260201_120223,2,final_relative_error_pct,x3,S (g/L),0.388230251693585
Case 1,20260201_153030,1,final_relative_error_pct,x1,V (L),0.0327042769331376
Case 1,20260201_153030,1,final_relative_error_pct,x2,X (g/L),0.0186442190672764
Case 1,20260201_153030,1,final_relative_error_pct,x3,S (g/L),0.779022147466395
Case 1,20260201_153030,2,final_relative_error_pct,x1,V (L),0.0406084820440133
Case 1,20260201_153030,2,final_relative_error_pct,x2,X (g/L),0.00123182428803048
Case 1,20260201_153030,2,final_relative_error_pct,x3,S (g/L),1.70303516872488
Case 1,20260201_154920,1,final_relative_error_pct,x1,V (L),0.447126686441268
Case 1,20260201_154920,1,final_relative_error_pct,x2,X (g/L),0.0225350502357813
Case 1,20260201_154920,1,final_relative_error_pct,x3,S (g/L),2.94308111312179
Case 1,20260201_154920,2,final_relative_error_pct,x1,V (L),0.0567202794203858
Case 1,20260201_154920,2,final_relative_error_pct,x2,X (g/L),0.0121332022392373
Case 1,20260201_154920,2,final_relative_error_pct,x3,S (g/L),15.0719411714482
Case 1,20260201_192807,1,final_relative_error_pct,x1,V (L),1.7488743367184
Case 1,20260201_192807,1,final_relative_error_pct,x2,X (g/L),3.39521853205838
Case 1,20260201_192807,1,final_relative_error_pct,x3,S (g/L),162.791916807544
Case 1,20260201_192807,2,final_relative_error_pct,x1,V (L),0.000204772869016878
Case 1,20260201_192807,2,final_relative_error_pct,x2,X (g/L),1.38713890152076e-06
Case 1,20260201_192807,2,final_relative_error_pct,x3,S (g/L),0.00049767419836621
Case 1,20260201_193032,1,final_relative_error_pct,x1,V (L),0.00865461947150425
Case 1,20260201_193032,1,final_relative_error_pct,x2,X (g/L),0.0405717941606021
Case 1,20260201_193032,1,final_relative_error_pct,x3,S (g/L),6.91031112042497
Case 1,20260201_193032,2,final_relative_error_pct,x1,V (L),0.000300017709631284
Case 1,20260201_193032,2,final_relative_error_pct,x2,X (g/L),7.88023209175037e-05
Case 1,20260201_193032,2,final_relative_error_pct,x3,S (g/L),0.0198926970084362
Case 1,20260201_223337,1,final_relative_error_pct,x1,V (L),2.06426794249335
Case 1,20260201_223337,1,final_relative_error_pct,x2,X (g/L),6.24846729545419
Case 1,20260201_223337,1,final_relative_error_pct,x3,S (g/L),163.440021356964
Case 1,20260201_223337,2,final_relative_error_pct,x1,V (L),0.0263017838372348
Case 1,20260201_223337,2,final_relative_error_pct,x2,X (g/L),0.13993456766336
Case 1,20260201_223337,2,final_relative_error_pct,x3,S (g/L),2.93966179732953
Case 1,20260201_232106,1,final_relative_error_pct,x1,V (L),0.330223936769847
Case 1,20260201_232106,1,final_relative_error_pct,x2,X (g/L),19.112694227286
Case 1,20260201_232106,1,final_relative_error_pct,x3,S (g/L),220.983213180577
Case 1,20260201_232106,2,final_relative_error_pct,x1,V (L),0.000507096943413998
Case 1,20260201_232106,2,final_relative_error_pct,x2,X (g/L),0.015325663469703
Case 1,20260201_232106,2,final_relative_error_pct,x3,S (g/L),0.0921605485742371
Case 2,20260210_134744,1,final_relative_error_pct,x1,V (L),8.31861832415521
Case 2,20260210_134744,1,final_relative_error_pct,x2,X (g/L),27.6940397591878
Case 2,20260210_134744,1,final_relative_error_pct,x3,S (g/L),222.206365143485
Case 2,20260210_134744,2,final_relative_error_pct,x1,V (L),0.00143498404343578
Case 2,20260210_134744,2,final_relative_error_pct,x2,X (g/L),0.00449492288254305
Case 2,20260210_134744,2,final_relative_error_pct,x3,S (g/L),0.0269589135344774
Case 2,20260210_151703,1,final_relative_error_pct,x1,V (L),0.120286900870847
