run_label,timestamp,case_id,metric,state,state_label,value
Case 1,20260131_151035,1,settling_time_h,x1,V (L),NaN
Case 1,20260131_151035,1,settling_time_h,x2,X (g/L),NaN
Case 1,20260131_151035,1,settling_time_h,x3,S (g/L),NaN
Case 1,20260131_151035,2,settling_time_h,x1,V (L),0.466666666666667
Case 1,20260131_151035,2,settling_time_h,x2,X (g/L),3.15
Case 1,20260131_151035,2,settling_time_h,x3,S (g/L),NaN
Case 1,20260201_111557,1,settling_time_h,x1,V (L),NaN
Case 1,20260201_111557,1,settling_time_h,x2,X (g/L),NaN
Case 1,20260201_111557,1,settling_time_h,x3,S (g/L),NaN
Case 1,20260201_111557,2,settling_time_h,x1,V (L),0.3
Case 1,20260201_111557,2,settling_time_h,x2,X (g/L),4.2
Case 1,20260201_111557,2,settling_time_h,x3,S (g/L),7.08333333333333
Case 1,20260201_111928,1,settling_time_h,x1,V (L),5.06666666666667
Case 1,20260201_111928,1,settling_time_h,x2,X (g/L),NaN
Case 1,20260201_111928,1,settling_time_h,x3,S (g/L),NaN
Case 1,20260201_111928,2,settling_time_h,x1,V (L),0.65
Case 1,20260201_111928,2,settling_time_h,x2,X (g/L),1.68333333333333
Case 1,20260201_111928,2,settling_time_h,x3,S (g/L),3.65
Case 1,20260201_120223,1,settling_time_h,x1,V (L),0
Case 1,20260201_120223,1,settling_time_h,x2,X (g/L),6.18333333333333
Case 1,20260201_120223,1,settling_time_h,x3,S (g/L),NaN
Case 1,20260201_120223,2,settling_time_h,x1,V (L),1.3
Case 1,20260201_120223,2,settling_time_h,x2,X (g/L),0.716666666666667
Case 1,20260201_120223,2,settling_time_h,x3,S (g/L),8.33333333333333
Case 1,20260201_153030,1,settling_time_h,x1,V (L),3.06666666666667
Case 1,20260201_153030,1,settling_time_h,x2,X (g/L),4.95
Case 1,20260201_153030,1,settling_time_h,x3,S (g/L),7.43333333333333
Case 1,20260201_153030,2,settling_time_h,x1,V (L),1.33333333333333
Case 1,20260201_153030,2,settling_time_h,x2,X (g/L),0.9
Case 1,20260201_153030,2,settling_time_h,x3,S (g/L),9.76666666666667
Case 1,20260201_154920,1,settling_time_h,x1,V (L),3.13333333333333
Case 1,20260201_154920,1,settling_time_h,x2,X (g/L),5.11666666666667
Case 1,20260201_154920,1,settling_time_h,x3,S (g/L),8.35
Case 1,20260201_154920,2,settling_time_h,x1,V (L),1.38333333333333
Case 1,20260201_154920,2,settling_time_h,x2,X (g/L),1.05
Case 1,20260201_154920,2,settling_time_h,x3,S (g/L),NaN
Case 1,20260201_192807,1,settling_time_h,x1,V (L),6.08333333333333
Case 1,20260201_192807,1,settling_time_h,x2,X (g/L),8.41666666666667
Case 1,20260201_192807,1,settling_time_h,x3,S (g/L),NaN
Case 1,20260201_192807,2,settling_time_h,x1,V (L),0.9
Case 1,20260201_192807,2,settling_time_h,x2,X (g/L),1.1
Case 1,20260201_192807,2,settling_time_h,x3,S (g/L),3.03333333333333
Case 1,20260201_193032,1,settling_time_h,x1,V (L),2.01666666666667
Case 1,20260201_193032,1,settling_time_h,x2,X (g/L),5.2
Case 1,20260201_193032,1,settling_time_h,x3,S (g/L),NaN
Case 1,20260201_193032,2,settling_time_h,x1,V (L),0.916666666666667
Case 1,20260201_193032,2,settling_time_h,x2,X (g/L),0.7
Case 1,20260201_193032,2,settling_time_h,x3,S (g/L),1.2
Case 1,20260201_223337,1,settling_time_h,x1,V (L),5.08333333333333
Case 1,20260201_223337,1,settling_time_h,x2,X (g/L),NaN
Case 1,20260201_223337,1,settling_time_h,x3,S (g/L),NaN
Case 1,20260201_223337,2,settling_time_h,x1,V (L),0.333333333333333
Case 1,20260201_223337,2,settling_time_h,x2,X (g/L),3.36666666666667
Case 1,20260201_223337,2,settling_time_h,x3,S (g/L),8.91666666666667
Case 1,20260201_232106,1,settling_time_h,x1,V (L),0
Case 1,20260201_232106,1,settling_time_h,x2,X (g/L),NaN
Case 1,20260201_232106,1,settling_time_h,x3,S (g/L),NaN
Case 1,20260201_232106,2,settling_time_h,x1,V (L),1.28333333333333
Case 1,20260201_232106,2,settling_time_h,x2,X (g/L),2.36666666666667
Case 1,20260201_232106,2,settling_time_h,x3,S (g/L),4.8
Case 2,20260210_134744,1,settling_time_h,x1,V (L),NaN
Case 2,20260210_134744,1,settling_time_h,x2,X (g/L),NaN
Case 2,20260210_134744,1,settling_time_h,x3,S (g/L),NaN
Case 2,20260210_134744,2,settling_time_h,x1,V (L),0.6
Case 2,20260210_134744,2,settling_time_h,x2,X (g/L),1.55
Case 2,20260210_134744,2,settling_time_h,x3,S (g/L),3.05
Case 2,20260210_151703,1,settling_time_h,x1,V (L),2.78333333333333
Case 2,20260210_151703,1,settling_time_h,x2,X (g/L),5.03333333333333
Case 2,20260210_151703,1,settling_time_h,x3,S (g/L),NaN
