case,vintage,created_at,gov_iter_start,gov_iter_end,n_doe_rows,n_opt_rows_used,n_runs_used,n_samples,SSE_a,SSE_b,SSE_lambda,SSE_loss,SSdU_a,SSdU_b,SSdU_lambda,SSdU_loss,fit_wall_s,SSE_fit_wall_s,SSdU_fit_wall_s
results_case1,0,2026-08-01T00:01:25+0200,1,10,20,0,19,5086,0.5846251757005256,1.1746666518001991,0.01,0.010617597994488028,1.231916614170369,3.187466856346791,0.0,0.07234188379575053,5.7146854205057025,3.9392091929912567,1.7753947228193283
results_case1,1,2026-08-01T00:32:29+0200,11,20,20,10,29,9532,0.6418437169229305,1.1184360799769386,0.01,0.012604093659752196,1.3087308280224677,3.7759796841043807,0.0,0.07934079248327967,6.500884413719177,3.068126205354929,3.4325530882924795
results_case1,2,2026-08-01T01:14:10+0200,21,30,20,20,39,14430,0.742593720153225,1.7711490797242189,0.0,0.013983025400714255,0.9930702859956949,2.5415434171928233,0.0,0.18306232850667026,9.214214477688074,4.725833744741976,4.488080997020006
results_case1,3,2026-08-01T20:16:13+0200,31,40,20,30,49,18956,0.6268907355085762,1.1842512515280164,0.01,0.015352063634096563,0.9711011307670734,2.5211284219666608,0.0,0.1551168099101357,11.972555904649198,6.6543730441480875,5.3180268397554755
results_case1,4,2026-08-01T21:14:38+0200,41,50,20,40,59,23255,0.7444662916073749,2.0002343593583882,0.0,0.014671972433955571,0.9757540047748854,2.3720264375644375,0.0,0.13437819394617234,13.359558305703104,6.556667972356081,6.802755021490157
results_case1,5,2026-08-02T00:10:31+0200,51,60,20,50,69,27990,0.7264293523766573,1.9493831147872738,0.0,0.013748190938626201,0.9088599449942824,2.4101631273566917,0.0,0.11998158784551752,18.214705825783312,10.54654305242002,7.6679996540769935
results_case1,6,2026-08-02T00:45:28+0200,61,70,20,60,79,32154,0.7354440641976204,2.0368053093429674,0.0,0.013172581136201423,0.9180858590939133,2.5737950436219226,0.0,0.11763416603976491,21.2353423750028,9.615528640337288,11.61962718050927
results_case1,7,2026-08-02T01:28:43+0200,71,80,20,70,89,36668,0.7285956506583937,2.0405218915406045,0.0,0.013246382831061379,0.8668690610275626,2.5726825350727753,0.0,0.10802160952792622,20.83657257258892,10.44147772807628,10.39488077443093
results_case1,8,2026-08-02T02:21:49+0200,81,90,20,80,99,40942,0.7587295124651015,2.192690510571093,0.0,0.013344672697522144,0.8203505393694407,2.316457862550797,0.0,0.104854852270423,27.428483115509152,15.581866847351193,11.846344693563879
results_case2,0,2026-08-03T09:44:22+0200,1,10,20,0,18,4928,1.005132664295613,4.407952340007707,0.0,0.010286635555262753,1.0003047068182909,0.9999074615298285,100.0,0.0979803713631567,3.4178678514435887,2.666972540318966,0.7508253399282694
results_case2,1,2026-08-03T15:00:10+0200,11,20,20,10,28,8940,0.9538996905828205,3.191751353285164,0.0,0.011887444062690518,0.9673187604962195,1.0094321173602854,1.0,0.1244574408074223,5.965322075411677,3.7061887262389064,2.258829408325255
results_case2,2,2026-08-03T16:13:09+0200,21,30,20,20,38,12983,0.8806901983993862,2.682623497359316,0.0,0.011778210834008138,0.7665045548017438,1.157574153788663,0.01,0.12812454590111363,8.405084219761193,4.682911052368581,3.7220491683110595
results_case2,3,2026-08-03T18:11:23+0200,31,40,20,30,48,17122,0.9110457015514347,3.1180635622976287,0.0,0.013118380142499005,1.0546157702461583,2.2417640928995044,0.0,0.11346785548272453,11.884719284251332,6.6633044658228755,5.22068880777806
results_case2,4,2026-08-03T19:04:13+0200,41,50,20,40,58,21215,0.907753190216064,2.9930978741619243,0.0,0.013950310101505745,1.0828727839632035,2.2752561804020983,0.0,0.11218487385403639,12.738977270200849,7.232386631891131,5.506366251036525
results_case2,5,2026-08-03T20:01:09+0200,51,60,20,50,68,24851,0.8976781502689928,3.178703550714438,0.0,0.013707170198637765,1.0396937042921843,2.1950583512214403,0.0,0.10178001618588722,15.83301879838109,9.53593263309449,6.296838168054819
results_case2,6,2026-08-04T00:39:54+0200,61,70,20,60,78,29397,0.8794607801340895,3.037545229719473,0.0,0.013535673041093174,0.9996669601692255,2.300532320988504,0.0,0.10089768856645649,19.61212272197008,10.942501115612686,8.66942862328142
results_case2,7,2026-08-04T01:48:29+0200,71,80,20,70,88,34282,0.8465688246247723,2.8265203257578744,0.0,0.01395172061389099,0.9893670993523747,2.507822759665883,0.0,0.09750250504110751,20.764862258918583,10.817661358043551,9.946995159611106
results_case2,8,2026-08-04T10:02:46+0200,81,90,20,80,98,38455,0.8342844898264435,2.8147463671746364,0.0,0.01340727760442341,0.906609711164227,2.4268001731455837,0.0,0.09518862251598875,26.18288366496563,14.324217466637492,11.858148125000298
results_case2,9,2026-08-04T11:05:00+0200,91,100,20,90,108,43046,0.8456810487394917,2.942928863070155,0.0,0.013575818708358769,0.918202005870584,2.426793094498462,0.0,0.09059728565961499,27.578341810032725,14.118836128152907,13.45850470289588
results_case2,10,2026-08-04T16:28:52+0200,101,110,20,100,118,47469,0.8419665792712105,2.972574766966175,0.0,0.013189083757981595,0.8957127478063894,2.3746607979009866,0.0,0.08417250117475479,41.70597814489156,21.632023295387626,20.07337658200413
