eval_id,timestamp,phase,phi_vintage,z,SSE_measured,SSdU_measured,phi_SSE,phi_SSdU,SSE,SSdU,J,runtime_s,n_flag_not_one,phi_floored,wall_total_s,wall_cases_s,wall_phi_s,wall_build_s,wall_save_s,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12
1,20260806_151235,DOE,NaN,1,45007.510508702253,2.4439266933130859,1,1,45007.510508702253,2.4439266933130859,69446.77744183311,924.18346399999996,1159,0,924.56702700000005,924.33829000000003,7.7000000000000001e-05,0.22033,0.016140000000000002,1,3,3,0,-2.9685109443962574,2.2680976577103138,-1000,-1000,-1000,0.83764648251235485,-2.4139600954949856,-0.29091797210276127
2,20260806_152802,DOE,NaN,1,23639.06484680016,21.01782261296453,1,1,23639.06484680016,21.01782261296453,233817.29097644548,4106.2774220000001,780,0,4106.4821099999999,4106.4587069999998,4.6999999999999997e-05,0.020697,0.015426,1,14,4,0,1.9899960290640593,-2.536335926502943,-1000,-1000,-1000,-1.3643158748745918,2.8451289609074593,0.65498584136366844
3,20260806_163631,DOE,NaN,1,15527.402975090752,18.684350849603316,1,1,15527.402975090752,18.684350849603316,202370.91147112392,1830.0246669999999,783,0,1830.2171659999999,1830.1929190000001,3.8000000000000002e-05,0.020181999999999999,0.008574,1,8,2,0,-0.40797224454581738,0.47913844138383865,-1000,-1000,-1000,-2.9586430974304676,0.32334829866886139,-1.9880469795316458
4,20260806_170703,DOE,NaN,1,51187.619177289584,13.061500507418328,1,1,51187.619177289584,13.061500507418328,181802.62425147288,3760.4562380000007,995,0,3767.219893,3766.6819409999998,4.1999999999999998e-05,0.011967999999999999,0.69624799999999998,1,5,7,0,1.3864957317709923,-0.57452552765607834,-1000,-1000,-1000,2.4306247103959322,-0.42932223156094551,1.5770355239510536
5,20260806_181227,DOE,NaN,1,58940.325152041871,59.063588017303509,1,1,58940.325152041871,59.063588017303509,649576.20532507694,1068.9718350000001,591,0,1069.3888039999999,1069.129927,6.9999999999999994e-05,0.249558,0.020063000000000001,1,6,1,0,2.9051084686070681,-0.8731441218405962,-1000,-1000,-1000,2.244378961622715,-2.1308454908430576,-2.7957513425499201
6,20260806_183019,DOE,NaN,1,16731.35227790317,3.5523472708651478,1,1,16731.35227790317,3.5523472708651478,52254.824986554646,4454.4334480000007,860,0,4454.5958520000004,4454.5738149999997,4.3999999999999999e-05,0.020792999999999999,0.013651,1,11,6,0,-1.9148791059851646,0.97734191827476025,-1000,-1000,-1000,-1.6474201250821352,1.6274439990520477,2.2692861221730709
7,20260806_194436,DOE,NaN,1,30710.968152207002,10.902905669150613,1,1,30710.968152207002,10.902905669150613,139740.02484371312,2382.8774310000003,761,0,2383.0386389999999,2383.015766,3.4999999999999997e-05,0.016905,0.0089029999999999995,1,12,2,0,0.47347753867506981,-1.9209463801234961,-1000,-1000,-1000,-0.053058592602610588,1.1689170822501183,-1.123747056350112
8,20260806_202421,DOE,NaN,1,22310.665856337164,1.9975379810267366,1,1,22310.665856337164,1.9975379810267366,42286.045666604528,1438.856745,782,0,1439.032465,1439.015832,3.0000000000000001e-05,0.014706,0.017011999999999999,1,1,4,0,-1.4637212175875902,2.1804179940372705,-1000,-1000,-1000,0.65141215547919273,-1.0844612829387188,1.3222017958760262
9,20260806_204822,DOE,NaN,1,25827.687914588678,39.270447601469925,1,1,25827.687914588678,39.270447601469925,418532.16392928793,547.50743299999999,296,0,547.69919400000003,547.62691500000005,0.000163,0.063530000000000003,0.0091549999999999999,1,1,1,0,0.36380980722606182,1.1361093185842037,-1000,-1000,-1000,-1.0024836044758558,-0.15428289771080017,-2.3013272490352392
10,20260806_214539,DOE,NaN,1,12536.21011558554,0.47151125364484442,1,1,12536.21011558554,0.47151125364484442,17251.322652033985,5106.1058970000004,862,0,5106.6066419999997,5106.3042999999998,7.4999999999999993e-05,0.29212500000000002,0.020382000000000001,1,13,6,0,-0.88530205562710762,-1.4190180636942387,-1000,-1000,-1000,1.2023998461663723,0.5873718224465847,2.7578465268015862
11,20260806_231048,DOE,NaN,1,18973.544209426473,33.821761772630516,1,1,18973.544209426473,33.821761772630516,357191.16193573165,2172.8940999999995,824,0,2173.04871,2173.0181149999999,3.6999999999999998e-05,0.026806,0.012274,1,10,3,0,2.2564025446772575,1.6125652939081192,-1000,-1000,-1000,2.7953666523098946,2.56934629753232,-1.3721919301897287
12,20260806_234703,DOE,NaN,1,12411.636254854127,18.026375331524559,1,1,12411.636254854127,18.026375331524559,192675.38957009971,2304.480971,825,0,2304.6323010000001,2304.6186339999999,3.1999999999999999e-05,0.012017999999999999,0.016279999999999999,1,7,5,0,-1.7349188905209303,-1.6933259814977646,-1000,-1000,-1000,-2.5968451369553804,-2.6772395744919777,1.056183110922575
13,20260807_002530,DOE,NaN,1,56674.256913550496,28.22029937128049,1,1,56674.256913550496,28.22029937128049,338877.25062635541,1224.2149390000002,659,0,1224.353666,1224.3377929999999,3.4999999999999997e-05,0.011364000000000001,0.020702000000000002,1,5,2,0,-0.25472395867109299,-2.7654378656297922,-1000,-1000,-1000,-2.032655406743288,-1.3712125942111015,-0.58742224238812923
