run_key,timestamp,p,m,Q_x1,Q_x2,Q_x3,R_u_x1,R_u_x2,R_u_x3,R_du_x1,R_du_x2,R_du_x3,noisy_Jtrack,noisy_JTV,noisy_settle_x1_h_c1,noisy_settle_x2_h_c1,noisy_settle_x3_h_c1,noisy_settle_x1_h_c2,noisy_settle_x2_h_c2,noisy_settle_x3_h_c2,noisy_settle_case_h_c1,noisy_settle_case_h_c2,noisy_IAE_x1_c1,noisy_IAE_x2_c1,noisy_IAE_x3_c1,noisy_IAE_x1_c2,noisy_IAE_x2_c2,noisy_IAE_x3_c2,noisy_IAE_case_c1,noisy_IAE_case_c2,noiseless_Jtrack,noiseless_JTV,noiseless_settle_x1_h_c1,noiseless_settle_x2_h_c1,noiseless_settle_x3_h_c1,noiseless_settle_x1_h_c2,noiseless_settle_x2_h_c2,noiseless_settle_x3_h_c2,noiseless_settle_case_h_c1,noiseless_settle_case_h_c2,noiseless_IAE_x1_c1,noiseless_IAE_x2_c1,noiseless_IAE_x3_c1,noiseless_IAE_x1_c2,noiseless_IAE_x2_c2,noiseless_IAE_x3_c2,noiseless_IAE_case_c1,noiseless_IAE_case_c2
run2,20260211_122653,15,1,1,0.00229221602699619,0.0453123572548189,0,0,0,0.0193382057882974,0.149439921624651,0.00224619939670608,12220.9890421198,0.38702925507197,0,5.11666666666667,NaN,0.816666666666667,0.816666666666667,NaN,5.11666666666667,0.816666666666667,0.110458334122671,28.5702401061305,0.976264226333619,0.0929227084447427,3.26039646000767,0.783498344015192,29.6569626665868,4.1368175124676,12269.8637620266,0.2543543382463,0,5.1,NaN,6.65,0.816666666666667,NaN,5.1,6.65,0.119418538563996,29.0951762418292,1.03686916817701,0.171444363552338,4.30278703135531,0.799694066822427,30.2514639485702,5.27392546173007
run2,20260210_151703,16,1,1,0.00407195227595944,0.0364138081143721,0,0,0,0.00518061076749584,1.84887225424959,2.52508057572553,12298.7816848173,0.162122479332174,2.8,5.03333333333333,NaN,0.866666666666667,0.85,NaN,5.03333333333333,0.866666666666667,0.293785108873614,28.8065033352593,1.67318837160847,0.134584903897543,3.97446659081264,0.775643432028759,30.7734768157414,4.88469492673895,12291.2943394142,0.0703514434779993,2.78333333333333,5.03333333333333,NaN,0.866666666666667,0.85,NaN,5.03333333333333,0.866666666666667,0.286932337110876,28.3768978591204,1.71699662533551,0.155729688357733,4.09573453855036,0.774312019613799,30.3808268215668,5.02577624652189
run2,20260210_180826,13,1,1,0.0019247725121602,0.0834658992122591,0,0,0,0.0654577923065734,0.164108387846972,6.42413041087272,12614.4928155829,0.150570382660754,4.83333333333333,5.36666666666667,NaN,1.01666666666667,0.833333333333333,NaN,5.36666666666667,1.01666666666667,0.402351683755428,29.7085635690466,0.551880060065803,0.192712100971839,3.52197180679467,0.776266727016049,30.6627953128678,4.49095063478256,12553.4372058139,0.0705119673373101,4.85,5.28333333333333,NaN,1,0.833333333333333,NaN,5.28333333333333,1,0.428841399014288,29.5264431089268,0.613993085787239,0.17774165424218,3.48903391582296,0.777459498453616,30.5692775937283,4.44423506851875
run2,20260210_171107,16,1,1,0.001,0.220451476004208,0,0,0,0.00639611987381289,0.001,5.27641613829701,13543.4079470657,0.148045328854562,4.21666666666667,5.98333333333333,NaN,0.9,0.95,NaN,5.98333333333333,0.95,0.399895811753183,32.751263698248,0.25923826907859,0.162773138420483,4.3917487959907,0.777056481866595,33.4103977790797,5.33157841627777,13221.7820513344,0.0467214576153247,4.2,5.71666666666667,NaN,0.9,0.95,NaN,5.71666666666667,0.95,0.368666843897583,31.1478719661463,0.294738373965935,0.17127632871033,4.08464753536302,0.775221875560189,31.8112771840098,5.03114573963354
run2,20260211_134235,10,1,1,0.0224980207782852,0.048739752008549,0,0,0,58.9287034009334,1.22261896238497,0.685493383828234,13800.3073395171,0.131370794486675,3.61666666666667,7.48333333333333,NaN,0.933333333333333,0.716666666666667,NaN,7.48333333333333,0.933333333333333,0.423549351171635,34.574354741653,3.8134734063719,0.116888723321718,3.92487564133533,0.768772174521233,38.8113774991966,4.81053653917828,13705.0967846538,0.0491201844126516,3.58333333333333,7.03333333333333,NaN,0.916666666666667,0.7,NaN,7.03333333333333,0.916666666666667,0.411202082527476,33.7505016347528,3.8501358543045,0.204497561847583,2.79614857573288,0.767918934333798,38.0118395715847,3.76856507191426
run1,20260201_192807,1,1,0.001,5.68137583825451,147.838469244165,1000,1000,1.44952272517945,1000,0.822679612617715,1000,14504.9740522742,0.0928915233629979,6.11666666666667,8.65,NaN,0.9,1.1,NaN,8.65,1.1,0.745643250986777,36.3142468275243,3.76999125822363,0.121604144127495,4.26379842699729,0.768760135304765,40.8298813367347,5.15416270642955,14438.4298763411,0.0304190419155828,6.08333333333333,8.41666666666667,NaN,0.9,1.1,3.03333333333333,8.41666666666667,3.03333333333333,0.742706803424184,35.9812002219257,3.80868312791645,0.107325970392594,3.75654017119595,0.768247559921297,40.5325901532663,4.63211370150985
run2,20260210_154010,3,1,1,0.324272000711178,2.23076959016514,0,0,0,940.665048353218,1000,6.94774603841578,17954.5568179681,0.0486381093402646,8.43333333333333,NaN,NaN,1.6,1.26666666666667,NaN,8.43333333333333,1.6,0.762364567650955,47.609808853604,0.848181948629609,0.138558691994531,4.72921254208268,0.771879598190101,49.2203553698845,5.63965083226731,17587.9795649079,0.0400441422340964,7.46666666666667,NaN,NaN,1.6,1.28333333333333,2.53333333333333,7.46666666666667,2.53333333333333,0.737416927108486,46.6878972135289,0.857054089108898,0.142052185039298,4.46538526790427,0.771647115156448,48.2823682297463,5.37908456810001
run1,20260201_223337,1,1,0.00641043132900752,0.00704579308116424,0.017435057423534,1000,1000,0.001,0.129837774064277,0.237577689663552,1000,19357.6272795918,0.0300006238887252,5.13333333333333,NaN,NaN,0.35,3.31666666666667,NaN,5.13333333333333,3.31666666666667,0.591243494638893,40.5253307739295,9.91428736687809,0.0731252857608261,11.5532245405456,0.784919851977479,51.0308616354465,12.4112696782839,19343.2666525593,0.0149183879154751,5.08333333333333,NaN,NaN,0.333333333333333,3.36666666666667,8.91666666666667,5.08333333333333,8.91666666666667,0.589985783653585,40.3927030133927,9.94621745156963,0.0753308211580918,11.61728229712,0.785007717620492,50.9289062486159,12.4776208358986
run1,20260202_000115,1,1,7.20706496141574,0.012368220313854,0.00264962952120841,1000,428.053047348544,0.001,1.23931497684517,0.268225636891995,1000,22869.9149653461,0.0258351765900142,9.31666666666667,NaN,NaN,0.316666666666667,3.35,10,9.31666666666667,10,0.764751637789553,54.7223434191228,0.293531283200726,0.0764170086464674,11.6440747989168,0.791278151061096,55.7806263401131,12.5117699586243,22781.3851865205,0.0160600605779304,9.26666666666667,NaN,NaN,0.316666666666667,3.4,8.01666666666667,9.26666666666667,8.01666666666667,0.763404915673922,54.5187238913008,0.292358996834633,0.0765473081645266,11.8053370931359,0.791268380720051,55.5744878038094,12.6731527820205
run1,20260201_232106,1,1,0.123047267722613,0.213612454077346,18.7816801999402,1000,169.516827194613,0.0410479799765186,0.0436103756383644,0.149214664491165,19.5373904850664,26455.6179578007,0.0250866901324147,0,NaN,NaN,1.3,2.31666666666667,9.98333333333333,0,9.98333333333333,0.0343667669534052,61.9635663720711,0.0421773613740317,0.174457355237293,8.01505019646905,0.775513253342529,62.0401105003986,8.96502080504887,26119.4986714841,0.00804801022483817,0,NaN,NaN,1.28333333333333,2.36666666666667,4.8,0,4.8,0.0360121476447132,61.4300354976494,0.0433187486109505,0.172668348811963,8.05043272447913,0.775386783794855,61.5093663939051,8.99848785708595
