eval_id,timestamp,phase,phi_vintage,z,SSE_measured,SSdU_measured,phi_SSE,phi_SSdU,SSE,SSdU,J,runtime_s,n_flag_not_one,phi_floored,wall_total_s,wall_cases_s,wall_phi_s,wall_build_s,wall_save_s,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12
21,20260907_155726,OPT,0,1,12366.817974270765,0.062060804578581374,1,1,12366.817974270765,0.062060804578581374,12987.426020056579,2525.5973630000003,913,0,2525.8609940000001,2525.7426620000001,0.029676000000000001,0.086476999999999998,0.015403,1,9,5,0,-1.8464869639472634,-1.3062755758034861,-1000,-1000,-1000,1.3674207281203266,0.68216943395658569,0.97290277624393928
22,20260907_163938,OPT,0,1,43608.113480154287,1.6621410729695931,1,1,43608.113480154287,1.6621410729695931,60229.52420985022,4143.2215049999995,1066,0,4143.437054,4143.4108500000002,0.00024499999999999999,0.022505000000000001,0.020773,1,8,7,0,-3,-2.4546376520360482,-1000,-1000,-1000,-3,-1.1574746330587964,3
23,20260908_083752,OPT,0,1,12850.759053806054,2.8580254122387667,1,1,12850.759053806054,2.8580254122387667,41431.013176193723,2906.3018120000006,817,0,2906.6856670000002,2906.4553409999999,0.0099349999999999994,0.21162800000000001,0.048148000000000003,1,8,7,0,-1.3578581710436868,0.061425728063841029,-1000,-1000,-1000,0.24152900394268742,-0.59495284321577224,-1.4878164243869088
24,20260908_092625,OPT,0,1,18262.340945546057,0.047840170114454322,1,1,18262.340945546057,0.047840170114454322,18740.7426466906,1423.0038149999996,1056,0,1423.141363,1423.1205279999999,0.00025799999999999998,0.019151000000000001,0.030085000000000001,1,13,1,0,-1.7896959867977653,-2.1206325531282531,-1000,-1000,-1000,2.3460432593293685,1.2740898384410817,3
25,20260908_095019,OPT,0,1,12730.226550167576,13.415778447834402,1,1,12730.226550167576,13.415778447834402,146888.0110285116,2544.8085369999999,788,0,2544.950507,2544.919371,0.0023869999999999998,0.023557000000000002,0.015807000000000002,1,12,3,0,-1.2329747449920514,-0.18536935363195492,-1000,-1000,-1000,-2.8175768847751312,1.8038355147457568,-1.9504946872182345
26,20260908_103250,OPT,0,1,17533.132847124136,0.1101893068434638,1,1,17533.132847124136,0.1101893068434638,18635.025915558774,2261.313283,1037,0,2261.431881,2261.4185090000001,0.00017899999999999999,0.011524,0.034032,1,4,5,0,-1.7764933005188188,-1.1874122776262017,-1000,-1000,-1000,2.399637845230997,-0.79009909262645328,3
27,20260908_143359,OPT,0,1,13639.350838462351,3.2043072334183513,1,1,13639.350838462351,3.2043072334183513,45682.423172645867,2261.1919459999999,810,0,2261.6375240000002,2261.4055130000002,0.011051,0.211807,0.017160000000000002,1,11,3,0,-0.69603253856425862,1.0530103811283158,-1000,-1000,-1000,0.6819990363569306,0.8576487975807181,3
28,20260908_172955,OPT,0,1,31216.602681601675,0.81008068447366044,1,1,31216.602681601675,0.81008068447366044,39317.409526338277,6611.0068190000002,1146,0,6611.652118,6611.3871339999996,0.010774000000000001,0.24439900000000001,0.023595999999999999,1,15,6,0,-2.6779427379485918,1.7419868533499829,-1000,-1000,-1000,-0.24598254536260328,-1.0060955023775009,3
29,20260908_192025,OPT,0,1,28118.541343481957,0.11170358941365087,1,1,28118.541343481957,0.11170358941365087,29235.577237618465,945.12001800000007,1133,0,945.34863399999995,945.31285700000001,0.0020500000000000002,0.029655999999999998,0.010035000000000001,1,11,0,0,-1.9408625334909622,-0.37593080011968316,-1000,-1000,-1000,3,1.5656990420951411,-3
30,20260908_193621,OPT,0,1,13101.8012986542,11.526523949472701,1,1,13101.8012986542,11.526523949472701,128367.04079338121,4079.4751139999998,805,0,4079.835536,4079.8210789999998,0.000611,0.01244,0.016570999999999999,1,12,7,0,-1.2343259528256694,0.15637975121484826,-1000,-1000,-1000,-3,0.84999351064646145,0.50338135427320441
