eval_id,timestamp,phase,phi_vintage,z,SSE_measured,SSdU_measured,phi_SSE,phi_SSdU,SSE,SSdU,J,runtime_s,n_flag_not_one,phi_floored,wall_total_s,wall_cases_s,wall_phi_s,wall_build_s,wall_save_s,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12
21,20260801_000218,OPT,0,0.89938699103703335,38456.133342292211,0.18026953150032121,0.96168405001796775,0.99902594687235746,39988.323963128751,0.18044529480409352,41792.776911169683,181.25380699999999,37,0,181.533951,181.37537699999999,0.053492999999999999,0.099821999999999994,0.032972000000000001,0.89938699103703335,0,0,-3,-1.7247828729441055,3,3,1.9648870481791043,0.076331168574145958,3,-1.302641288748305,-2.5713894773365156
22,20260801_000537,OPT,0,0.86317412768191082,54430.578586424919,4.0191615357557753,0.94452601398982849,0.99742316427148758,57627.400177684336,4.0295450113105691,97922.850290790026,190.36891100000003,683,0,190.49200500000001,190.47410300000001,0.000232,0.016521000000000001,0.03092,0.86317412768191082,0,0,-3,-1.3602415131484968,-3,-3,-1.5345389205054079,-3,3,3,-3
23,20260801_000906,OPT,0,0.84731681299754602,35510.929157657636,0.026767681299160614,0.93664729770102195,0.99635658626385437,37912.807995942923,0.026865563662839098,38181.463632571315,137.568746,18,0,137.68671699999999,137.67142000000001,0.00066,0.012305999999999999,0.00941,0.84731681299754602,0,0,-3,-1.3699594634514523,0.52080839107232046,3,3,3,3,-3,2.4061101246370273
24,20260801_001144,OPT,0,0.79351778127495465,17773.052028781545,0.74670370838436462,0.90841546632370063,0.99056939144249623,19564.893694190338,0.75381262013052186,27103.019895495556,142.09018800000001,38,0,142.18942699999999,142.17706799999999,0.00015699999999999999,0.011192000000000001,0.023562,0.79351778127495465,0,0,-3,-2.117340707005074,3,3,3,-3,-0.61057589298160675,-3,3
25,20260801_001424,OPT,0,0.65036366929021017,35602.644484343997,2.8393131592408256,0.82288419946538438,0.95108288321558554,43265.680040368381,2.985347764477881,73119.157685147191,166.49506500000001,347,0,166.664646,166.568939,0.001356,0.080072000000000004,0.0080510000000000009,0.65036366929021017,1,0,-1.0640664461092781,-1.3172455347560919,3,3,3,-1.6096847456034449,2.8345764417920569,-0.61187127559364618,0.11674455582675985
26,20260801_001729,OPT,0,0.87374081229698375,53136.347112110212,2.9645618820898583,0.94965638225584526,0.99800136820420593,55953.235406988344,2.9704988154718293,85658.223561706633,136.027917,39,0,136.12573499999999,136.12169599999999,0.000117,0.0031150000000000001,0.0078370000000000002,0.87374081229698375,0,0,-3,-2.5670275794827364,-3,3,-1.4399027745606801,3,-1.0381468969912608,-3,3
27,20260801_002005,OPT,0,0.83943543386904784,59656.210756710345,2.8787008273629922,0.93265387624293727,0.99572938032399438,63963.933755389364,2.8910473912362704,92874.407667752064,138.89189299999998,48,0,138.98334199999999,138.98149599999999,2.6999999999999999e-05,0.0014779999999999999,0.015009,0.83943543386904784,0,0,-3,-2.0205963877826223,1.4158382802718652,3,-3,2.3863435510068429,2.3533283266864116,-3,-1.3789647314240734
28,20260801_002242,OPT,0,0.85647846505861625,22841.193473098421,0.93767711250231134,0.94122509844129476,0.99700328915575032,24267.514233231053,0.94049550558285955,33672.469289059649,252.05955900000001,81,0,252.15044,252.14846600000001,2.6999999999999999e-05,0.0015740000000000001,0.0078120000000000004,0.85647846505861625,0,1,-3,-2.7808501119305795,3,3,3,3,-2.2107703829161074,-3,-2.7238447045178824
29,20260801_002713,OPT,0,0.96187604326041909,41061.540228579368,0.050510379284374324,0.98792506919045076,0.9999553030462599,41563.41559611095,0.050512637045375633,42068.541966564706,153.81457499999999,21,0,153.91857899999999,153.91539399999999,2.6999999999999999e-05,0.0027560000000000002,0.0094050000000000002,0.96187604326041909,0,0,-3,-2.2664792864905685,-3,3,3,3,2.0002924710250816,-3,3
30,20260801_003005,OPT,0,0.799046171845049,15115.007719167477,5.4141734028782649,0.91141913870563984,0.99134080375276412,16584.035903210453,5.4614653027320914,71198.688930531367,137.18994900000001,47,0,137.27684400000001,137.274361,3.1999999999999999e-05,0.002026,0.0077730000000000004,0.799046171845049,0,0,-3,-3,3,-3,3,-3,-3,-3,3
31,20260801_003248,OPT,1,0.953895005543828,14938.718604911934,1.1075274559509527,0.97986939598854561,0.99998426774997773,15245.622188088586,1.1075448801239178,26321.070989327764,178.48764399999999,75,0,178.59099399999999,178.58897300000001,3.3000000000000003e-05,0.0016329999999999999,0.021531000000000002,0.953895005543828,0,0,-3,0.25584309040672576,3,3,3,-3,-3,-3,3
32,20260801_003603,OPT,1,1,16721.148435451476,0.12837268138735655,1,1,16721.148435451476,0.12837268138735655,18004.875249325043,177.923474,53,0,178.03065699999999,178.028693,2.5000000000000001e-05,0.00157,0.0088030000000000001,1,0,0,-3,-1.1527515765345269,2.2340701808586938,3,3,-3,-0.68408915615021793,-3,3
33,20260801_003921,OPT,1,0.88884840890890615,62728.923490477137,0.048900327712197787,0.94542932956187298,0.99957097991929689,66349.669434887022,0.048921315939110088,66838.882594278126,291.905371,66,0,292.00081299999999,291.99879499999997,2.9e-05,0.0016379999999999999,0.022388000000000002,0.88884840890890615,0,1,-3,-1.779755483431948,-3,1.1950189522574324,3,-3,3,-3,3
34,20260801_004429,OPT,1,0.92961851721367939,33349.914846034102,0.77976491329264586,0.96753553210820686,0.99992277184687672,34468.930327929622,0.77982513774779327,42267.181705407551,156.46662599999999,52,0,156.567341,156.565338,3.0000000000000001e-05,0.0015870000000000001,0.0079139999999999992,0.92961851721367939,0,0,-3,-1.0058871159155769,3,3,3,3,-1.6336143435663641,3,3
35,20260801_004722,OPT,1,0.8662469552694203,53984.76801443669,10.36113485276452,0.9325612441021699,0.99914225450937866,57888.710640565936,10.370029698976426,161589.00763033019,182.92088700000002,412,0,183.01512099999999,183.01318900000001,2.9e-05,0.00156,0.0093399999999999993,0.8662469552694203,0,0,-3,-1.0308332653946455,-3,3,3,-3,-2.2912948152723382,-3,-3
36,20260801_005037,OPT,1,0.97426707642154797,61781.289356238252,0.26100019491544257,0.9895555744225254,0.9999982512994704,62433.370043205447,0.26100065132741979,65043.376556479641,166.37554199999997,88,0,166.48415199999999,166.48218700000001,3.1000000000000001e-05,0.001555,0.0085730000000000008,0.97426707642154797,0,0,-3,-3,3,3,2.2540265943957931,3,2.6346714417519781,-3,-2.1628109424860682
37,20260801_005342,OPT,1,0.86408775434924057,36790.835771200218,0.071572735657742859,0.93131131433163072,0.99908932632098912,39504.33674007676,0.071637974475515356,40220.716484831915,151.36156499999998,26,0,151.456041,151.45409100000001,2.5000000000000001e-05,0.0015950000000000001,0.020013,0.86408775434924057,0,0,2.6313706496657296,-0.92834951535891908,-2.1714563170857737,3,3,3,1.4342718110596733,-3,3
38,20260801_005627,OPT,1,1,28175.199714423336,0.44820843596796367,1,1,28175.199714423336,0.44820843596796367,32657.284074102972,432.47429099999999,292,0,432.58671099999998,432.58483000000001,2.4000000000000001e-05,0.0014970000000000001,0.010371999999999999,1,5,0,-3,-1.1399921348132538,-1.5759462868150034,3,3,3,2.013446455860711,-3,2.1337143707767878
