eval_id,timestamp,phase,phi_vintage,z,SSE_measured,SSdU_measured,phi_SSE,phi_SSdU,SSE,SSdU,J,runtime_s,n_flag_not_one,phi_floored,wall_total_s,wall_cases_s,wall_phi_s,wall_build_s,wall_save_s,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12
1,20260731_164630,DOE,NaN,0.21111252487637103,46780.631148805944,1.1624833203533811,1,1,46780.631148805944,1.1624833203533811,58405.464352339754,74.472943999999984,79,0,74.752038999999996,74.536524999999997,8.0000000000000007e-05,0.20627599999999999,0.0099159999999999995,0.21111252487637103,6,0,2.2680976577103138,0.83764648251235485,-2.4139600954949856,-0.29091797210276127,-1.3399689719080925,-2.4613155070692301,-0.079386603087186813,0.34805713780224323,2.1295525152236223
2,20260731_170430,DOE,NaN,0.94815464904531832,30647.621060199494,0.28895447390983869,1,1,30647.621060199494,0.28895447390983869,33537.16579929788,2725.1255900000006,625,0,2725.5304569999998,2725.3488779999998,7.1000000000000005e-05,0.175673,0.033401,0.94815464904531832,11,5,-2.9649879522621632,-0.43735111691057682,0.50815895386040211,2.9791774079203606,0.035427510738372803,0.36666354350745678,0.88644003309309483,-1.7686922885477543,-1.3212229963392019
3,20260731_174957,DOE,NaN,0.66158182352781292,16555.285507571796,0.1172383176817559,1,1,16555.285507571796,0.1172383176817559,17727.668684389355,531.92302500000005,206,0,532.07717300000002,532.05701399999998,3.6999999999999998e-05,0.019025,0.0081519999999999995,0.66158182352781292,2,3,1.2743445374071598,-1.9598954971879721,1.5081228017807007,-2.1330309603363276,2.1647544968873262,1.8608365673571825,2.5797258708626032,-0.19163496047258377,-2.7580849081277847
4,20260731_175852,DOE,NaN,0.43895060728304086,20278.089941342128,11.084447192210131,1,1,20278.089941342128,11.084447192210131,131122.56186344344,1767.274357,213,0,1767.3974169999999,1767.384204,3.1000000000000001e-05,0.012225,0.011017000000000001,0.43895060728304086,14,6,-0.93997267261147499,2.3096087146550417,-1.1960605848580599,0.94843646138906479,-2.3659150656312704,-0.97902963124215603,-1.7021629773080349,1.8166159819811583,0.5433223620057106
5,20260731_182821,DOE,NaN,0.28717456570826472,50673.635041786045,4.4155186067322578,1,1,50673.635041786045,4.4155186067322578,94828.821109108627,174.479794,49,0,174.561485,174.53914800000001,8.8999999999999995e-05,0.017403999999999999,0.0050749999999999997,0.28717456570826472,1,4,-0.38248691149055958,1.7875391095876694,-1.6042498759925365,-2.4487845059484243,2.3424668423831463,2.911216389387846,0.2762428242713213,-1.2860578447580338,1.0851332992315292
6,20260731_183118,DOE,NaN,0.50975338231772183,17105.385220281176,1.5417932780545234,1,1,17105.385220281176,1.5417932780545234,32523.31800082641,609.03295900000001,265,0,609.21740999999997,609.15334399999995,0.000145,0.057722999999999997,0.0066559999999999996,0.50975338231772183,11,1,0.33013679645955563,-2.937097080051899,1.2921971250325441,0.63412554189562798,-2.1415108256042004,-0.6231931708753109,-1.0656831599771976,2.7055943068116903,-1.8002642020583153
7,20260731_184129,DOE,NaN,0.86005980165675278,25682.55887910302,3.0116075037111107,1,1,25682.55887910302,3.0116075037111107,55798.633916214123,2915.9503569999997,975,0,2916.1206590000002,2916.11733,3.9999999999999998e-06,0.002637,0.0098919999999999998,0.86005980165675278,5,7,-1.6592416036874056,-1.4156505949795246,2.3163726478815079,-1.4780940469354391,-0.15244122035801411,-2.1173700839281082,-2.4077624268829823,1.1290005091577768,-0.029049603268504143
8,20260731_193007,DOE,NaN,0.12322019499726593,11759.531247192521,0.27544448180083747,1,1,11759.531247192521,0.27544448180083747,14513.976065200895,66.065536000000009,20,0,66.095782,66.091030000000003,5.0000000000000004e-06,0.00233,0.0050889999999999998,0.12322019499726593,8,2,2.0756293293088675,0.31521140411496162,-0.41055882163345814,1.7905586175620556,1.4575133677572012,1.4289102628827095,1.5009596217423677,-2.7543477080762386,2.3377474788576365
9,20260731_193116,DOE,NaN,0.023961533019319178,2428.2229395676718,0.0023648169748272932,1,1,2428.2229395676718,0.0023648169748272932,2451.8711093159445,10.470533,2,0,10.477399,10.475816999999999,3.9999999999999998e-06,0.0012849999999999999,0.023810000000000001,0.023961533019319178,4,7,0.54737330786883831,-0.29723366908729076,-1.0201788078993559,-2.7962518259882927,2.6306995823979378,2.6051266975700855,-1.9776150472462177,-2.3883056100457907,1.6654938049614429
10,20260731_201310,DOE,NaN,0.77200156172737477,25431.388493919563,7.7515489902865031,1,1,25431.388493919563,7.7515489902865031,102946.8783967846,1761.4505129999998,554,0,1761.8348329999999,1761.5811100000001,6.9999999999999994e-05,0.245647,0.028434999999999998,0.77200156172737477,14,2,-0.21377321518957615,1.4467887673527002,2.0822297818958759,0.099203294143080711,-1.7007520794868469,-0.22322821989655495,2.6910554934293032,0.75675589218735695,-0.88005105033516884
11,20260731_204235,DOE,NaN,0.62827232539653777,43277.304921617615,15.982621680975535,1,1,43277.304921617615,15.982621680975535,203103.52173137298,1159.2059590000001,512,0,1159.3101590000001,1159.2876759999999,4.0000000000000003e-05,0.0212,0.0075269999999999998,0.62827232539653777,7,4,1.5410469453781843,2.9191166516393423,0.30773523263633251,-0.75343235582113266,-0.499390734359622,-1.7174845710396767,1.337650241330266,2.3219800740480423,-2.4490707088261843
12,20260731_210156,DOE,NaN,0.35597250978462397,18168.759668288225,0.054579408233468067,1,1,18168.759668288225,0.054579408233468067,18714.553750622905,285.580333,107,0,285.65377599999999,285.63818600000002,3.8999999999999999e-05,0.014260999999999999,0.028348000000000002,0.35597250978462397,10,1,-2.238684693351388,-1.8186803329735994,-2.963548019528389,1.9526752587407827,1.0752253476530313,1.1227410435676575,-0.74156636372208595,-0.90795948542654514,0.25756113789975643
13,20260731_210644,DOE,NaN,0.44387104294262825,14579.279691238065,0.026016037282649267,1,1,14579.279691238065,0.026016037282649267,14839.440064064558,554.98998099999994,315,0,555.05817400000001,555.04407500000002,3.6999999999999998e-05,0.012819000000000001,0.0065469999999999999,0.44387104294262825,4,3,-2.4329841993749142,-2.3283181451261044,-0.21197777800261974,-0.45376918092370033,-1.0052225477993488,-2.861292527988553,2.1747921500355005,2.2002133950591087,1.2098961900919676
14,20260731_211601,DOE,NaN,0.71636110227555039,13027.368219578146,22.239579174471046,1,1,13027.368219578146,22.239579174471046,235423.15996428861,1725.989296,468,0,1726.1508309999999,1726.073697,0.00018599999999999999,0.069933999999999996,0.012751,0.71636110227555039,9,6,2.8486244939267635,1.9280256293714046,2.8677800036966801,2.2537797186523676,0.42895163968205452,0.67274116538465023,-2.8707115910947323,-0.56976227648556232,-1.9010388348251581
15,20260731_214449,DOE,NaN,0.92382287027314303,15693.387988981849,12.589784550478763,1,1,15693.387988981849,12.589784550478763,141591.23349376948,335.67011899999994,268,0,335.77595300000002,335.765963,3.9999999999999998e-06,0.0077279999999999996,0.0084250000000000002,0.92382287027314303,1,1,-1.1561500243842602,0.45606321841478348,1.1174027156084776,-1.5988447107374668,1.865052742883563,2.1670178566128016,-1.1653657369315624,-2.1347061228007078,-0.67808918282389641
16,20260731_215027,DOE,NaN,0.17574460399337113,9181.6685728079592,0.057144294823642604,1,1,9181.6685728079592,0.057144294823642604,9753.1115210443859,421.709701,82,0,421.73120499999999,421.72968300000002,1.9999999999999999e-06,0.0012110000000000001,0.0058190000000000004,0.17574460399337113,13,4,1.1030281595885754,-0.80577358603477478,-2.1794667541980743,1.2951692137867212,-2.7947070244699717,-1.3789030741900206,0.53995021618902683,0.72031926736235619,2.9631650112569332
17,20260731_215731,DOE,NaN,0.13761762545444073,13049.111757971441,3.595743202600183,1,1,13049.111757971441,3.595743202600183,49006.543783973269,35.235582999999998,8,0,35.251609000000002,35.250096999999997,3.0000000000000001e-06,0.0012099999999999999,0.0064530000000000004,0.13761762545444073,0,2,-1.8499885238707066,2.4906925689429045,2.7217787727713585,2.7365528661757708,1.5180380120873451,-0.03985319472849369,-0.77890186384320259,0.46066688373684883,0.89665505848824978
18,20260731_224658,DOE,NaN,0.90559804623946549,31006.098306193882,3.7126876108628619,1,1,31006.098306193882,3.7126876108628619,68132.9744148225,2769.1779270000006,571,0,2769.5593819999999,2769.3142809999999,6.8999999999999997e-05,0.23661099999999999,0.015009,0.90559804623946549,12,7,1.8906502760946751,-2.14026197232306,-0.17445654608309269,-0.18085175380110741,-2.8223861753940582,2.4158581327646971,0.17678673751652241,-2.0164338257163763,-1.6116022188216448
19,20260731_233310,DOE,NaN,0.74277725651860238,41633.662115200772,0.47775755141484594,1,1,41633.662115200772,0.47775755141484594,46411.237629349234,577.188986,479,0,577.29770499999995,577.27730199999996,3.6999999999999998e-05,0.019231000000000002,0.030981000000000002,0.74277725651860238,4,2,-0.57315443828701973,-0.61881544254720211,-1.9342624135315418,0.83583611436188221,-0.88384203426539898,0.93330048210918903,1.7880070824176073,-0.49980125762522221,-0.21534257009625435
20,20260731_234249,DOE,NaN,0.48920744861476123,16326.495990248106,8.2245523839088506,1,1,16326.495990248106,8.2245523839088506,98572.019829336612,1108.921188,269,0,1109.0143949999999,1109.0010589999999,2.8e-05,0.012378,0.011225000000000001,0.48920744861476123,9,4,0.14505403116345406,1.0183648187667131,0.79320126213133335,-1.8951964639127254,0.68216773308813572,-1.5339603926986456,-2.5071354545652866,1.8980976641178131,2.5242227353155613
