row_idx,phase,doe_idx,bo_idx,timestamp_py,acq_value,ELL_Z,GAMMA_TIME,WZ,WT,t_floor,SSE,SSdU,J,runtime_s,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12
1,DOE,1,,1769778855,,0.25,1.0,1.0,1.0,56.18303,60428.773128153116,3.278561351380616,93214.38664195928,56.18303,0.21111252487637103,6.0,0.0,2.268097657710314,0.8376464825123549,-2.4139600954949856,-0.29091797210276127,-1.3399689719080925,-2.46131550706923,-0.07938660308718681,0.34805713780224323,2.1295525152236223
2,DOE,2,,1769781011,,0.25,1.0,1.0,1.0,56.18303,30632.91140980394,0.2721598168509541,33354.50957831348,2151.627579,0.9481546490453183,11.0,5.0,-2.964987952262163,-0.4373511169105768,0.5081589538604021,2.9791774079203606,0.0354275107383728,0.3666635435074568,0.8864400330930948,-1.7686922885477543,-1.321222996339202
3,DOE,3,,1769781474,,0.25,1.0,1.0,1.0,56.18303,16577.33887849271,0.13347420374705452,17912.080915963255,458.144151,0.6615818235278129,2.0,3.0,1.2743445374071598,-1.959895497187972,1.5081228017807007,-2.1330309603363276,2.1647544968873262,1.8608365673571825,2.579725870862603,-0.19163496047258377,-2.7580849081277847
4,DOE,4,,1769782611,,0.25,1.0,1.0,1.0,56.18303,20806.33477155363,14.117218730664938,161978.522078203,1130.1017390000002,0.43895060728304086,14.0,6.0,-0.939972672611475,2.3096087146550417,-1.1960605848580599,0.9484364613890648,-2.3659150656312704,-0.979029631242156,-1.702162977308035,1.8166159819811583,0.5433223620057106
5,DOE,5,,1769782778,,0.25,1.0,1.0,1.0,56.18303,57269.10755638938,7.165585601499186,128924.96357138125,163.611102,0.2871745657082647,1.0,4.0,-0.3824869114905596,1.7875391095876694,-1.6042498759925365,-2.4487845059484243,2.3424668423831463,2.911216389387846,0.2762428242713213,-1.2860578447580338,1.0851332992315292
6,DOE,6,,1769783200,,0.25,1.0,1.0,1.0,56.18303,17369.341439645596,1.4356552397579188,31725.893837224783,419.964795,0.5097533823177218,11.0,1.0,0.3301367964595556,-2.937097080051899,1.2921971250325441,0.634125541895628,-2.1415108256042004,-0.6231931708753109,-1.0656831599771976,2.7055943068116903,-1.8002642020583153
7,DOE,7,,1769784607,,0.25,1.0,1.0,1.0,56.18303,25789.287375630403,2.924756231807402,55036.849693704426,1402.247863,0.8600598016567528,5.0,7.0,-1.6592416036874056,-1.4156505949795246,2.316372647881508,-1.478094046935439,-0.1524412203580141,-2.117370083928108,-2.4077624268829823,1.1290005091577768,-0.029049603268504143
8,DOE,8,,1769784654,,0.25,1.0,1.0,1.0,45.54657,21123.091283507805,0.5777232743332996,26900.3240268408,45.54657,0.12322019499726593,8.0,2.0,2.0756293293088675,0.3152114041149616,-0.41055882163345814,1.7905586175620556,1.4575133677572012,1.4289102628827095,1.5009596217423677,-2.7543477080762386,2.3377474788576365
9,DOE,9,,1769784666,,0.25,1.0,1.0,1.0,9.253795,16017.369050054724,0.030644567017080324,16323.814720225528,9.253795,0.02396153301931918,4.0,7.0,0.5473733078688383,-0.29723366908729076,-1.0201788078993559,-2.7962518259882927,2.6306995823979378,2.6051266975700855,-1.9776150472462177,-2.3883056100457907,1.665493804961443
10,DOE,10,,1769786047,,0.25,1.0,1.0,1.0,9.253795,25414.21388188633,8.794960932511412,113363.82320700045,1377.921127,0.7720015617273748,14.0,2.0,-0.21377321518957615,1.4467887673527002,2.082229781895876,0.09920329414308071,-1.700752079486847,-0.22322821989655495,2.691055493429303,0.756755892187357,-0.8800510503351688
11,DOE,11,,1769786995,,0.25,1.0,1.0,1.0,9.253795,44464.276467196985,15.872400199151109,203188.27845870808,943.0920719999999,0.6282723253965378,7.0,4.0,1.5410469453781843,2.9191166516393423,0.3077352326363325,-0.7534323558211327,-0.499390734359622,-1.7174845710396767,1.337650241330266,2.3219800740480423,-2.4490707088261843
12,DOE,12,,1769787177,,0.25,1.0,1.0,1.0,9.253795,19195.38887591698,0.024436466979887016,19439.75354571585,178.87676399999998,0.35597250978462397,10.0,1.0,-2.238684693351388,-1.8186803329735994,-2.963548019528389,1.9526752587407827,1.0752253476530313,1.1227410435676575,-0.741566363722086,-0.9079594854265451,0.25756113789975643
13,DOE,13,,1769787668,,0.25,1.0,1.0,1.0,9.253795,14805.29197342248,0.03346119454923676,15139.903918914848,490.450952,0.44387104294262825,4.0,3.0,-2.432984199374914,-2.3283181451261044,-0.21197777800261974,-0.45376918092370033,-1.0052225477993488,-2.861292527988553,2.1747921500355005,2.2002133950591087,1.2098961900919676
14,DOE,14,,1769789225,,0.25,1.0,1.0,1.0,9.253795,13144.094721828122,23.667936138260835,249823.45610443648,1552.0223409999999,0.7163611022755504,9.0,6.0,2.8486244939267635,1.9280256293714046,2.86778000369668,2.2537797186523676,0.4289516396820545,0.6727411653846502,-2.8707115910947323,-0.5697622764855623,-1.9010388348251581
15,DOE,15,,1769789581,,0.25,1.0,1.0,1.0,9.253795,15682.63623975226,12.942870207046703,145111.3383102193,351.087137,0.923822870273143,1.0,1.0,-1.1561500243842602,0.4560632184147835,1.1174027156084776,-1.5988447107374668,1.865052742883563,2.1670178566128016,-1.1653657369315624,-2.134706122800708,-0.6780891828238964
16,DOE,16,,1769789842,,0.25,1.0,1.0,1.0,9.253795,13141.80144962506,0.19060770777475372,15047.878527372597,260.598373,0.17574460399337113,13.0,4.0,1.1030281595885754,-0.8057735860347748,-2.1794667541980743,1.2951692137867212,-2.7947070244699717,-1.3789030741900206,0.5399502161890268,0.7203192673623562,2.963165011256933
17,DOE,17,,1769789879,,0.25,1.0,1.0,1.0,9.253795,21702.31848038034,13.455685513956029,156259.17361994064,33.289992,0.13761762545444073,0.0,2.0,-1.8499885238707066,2.4906925689429045,2.7217787727713585,2.7365528661757708,1.5180380120873451,-0.03985319472849369,-0.7789018638432026,0.46066688373684883,0.8966550584882498
